Metric,Trial,Values,Average,Median,Std,IQR,Min,Max
f1_score,RGB-RNA-SNMR-OmniGenome-52M,[0.27921686940803425],0.27921686940803425,0.27921686940803425,0.0,0.0,0.27921686940803425,0.27921686940803425
f1_score,RGB-RNA-SSP-Archive2-OmniGenome-52M,[0.44081865759362543],0.44081865759362543,0.44081865759362543,0.0,0.0,0.44081865759362543,0.44081865759362543
f1_score,RGB-RNA-SSP-rnastralign-OmniGenome-52M,[0.885547511866584],0.885547511866584,0.885547511866584,0.0,0.0,0.885547511866584,0.885547511866584
f1_score,RGB-RNA-SSP-bpRNA-OmniGenome-52M,[0.5455347082503871],0.5455347082503871,0.5455347082503871,0.0,0.0,0.5455347082503871,0.5455347082503871
matthews_corrcoef,RGB-RNA-SNMR-OmniGenome-52M,[0.05386101805690401],0.05386101805690401,0.05386101805690401,0.0,0.0,0.05386101805690401,0.05386101805690401
matthews_corrcoef,RGB-RNA-SSP-Archive2-OmniGenome-52M,[0.3625930996264527],0.3625930996264527,0.3625930996264527,0.0,0.0,0.3625930996264527,0.3625930996264527
matthews_corrcoef,RGB-RNA-SSP-rnastralign-OmniGenome-52M,[0.8225532102014399],0.8225532102014399,0.8225532102014399,0.0,0.0,0.8225532102014399,0.8225532102014399
matthews_corrcoef,RGB-RNA-SSP-bpRNA-OmniGenome-52M,[0.3840315827982308],0.3840315827982308,0.3840315827982308,0.0,0.0,0.3840315827982308,0.3840315827982308
roc_auc_score,RGB-RNA-SNMD-OmniGenome-52M,[0.5119111263554386],0.5119111263554386,0.5119111263554386,0.0,0.0,0.5119111263554386,0.5119111263554386
root_mean_squared_error,RGB-RNA-mRNA-OmniGenome-52M,[0.8004962801933289],0.8004962801933289,0.8004962801933289,0.0,0.0,0.8004962801933289,0.8004962801933289
