Metric,Trial,Values,Average,Median,Std,IQR,Min,Max
f1_score,RGB-RNA-SNMR-OmniGenome-52M,[0.4705120824131688],0.4705120824131688,0.4705120824131688,0.0,0.0,0.4705120824131688,0.4705120824131688
f1_score,RGB-RNA-SSP-Archive2-OmniGenome-52M,[0.8800914439102971],0.8800914439102971,0.8800914439102971,0.0,0.0,0.8800914439102971,0.8800914439102971
f1_score,RGB-RNA-SSP-rnastralign-OmniGenome-52M,[0.9728583458467837],0.9728583458467837,0.9728583458467837,0.0,0.0,0.9728583458467837,0.9728583458467837
f1_score,RGB-RNA-SSP-bpRNA-OmniGenome-52M,[0.7502921556229177],0.7502921556229177,0.7502921556229177,0.0,0.0,0.7502921556229177,0.7502921556229177
f1_score,RGB-RNA-TE-Prediction.Arabidopsis-OmniGenome-52M,[0.6601828557403203],0.6601828557403203,0.6601828557403203,0.0,0.0,0.6601828557403203,0.6601828557403203
f1_score,RGB-RNA-TE-Prediction.Rice-OmniGenome-52M,[0.7427322170034104],0.7427322170034104,0.7427322170034104,0.0,0.0,0.7427322170034104,0.7427322170034104
f1_score,RGB-RNA-Region-Classification.Arabidopsis-OmniGenome-52M,[0.9601409160538914],0.9601409160538914,0.9601409160538914,0.0,0.0,0.9601409160538914,0.9601409160538914
f1_score,RGB-RNA-Region-Classification.Rice-OmniGenome-52M,[0.9343617175084818],0.9343617175084818,0.9343617175084818,0.0,0.0,0.9343617175084818,0.9343617175084818
matthews_corrcoef,RGB-RNA-SNMR-OmniGenome-52M,[0.3114356674710262],0.3114356674710262,0.3114356674710262,0.0,0.0,0.3114356674710262,0.3114356674710262
matthews_corrcoef,RGB-RNA-SSP-Archive2-OmniGenome-52M,[0.813313796203534],0.813313796203534,0.813313796203534,0.0,0.0,0.813313796203534,0.813313796203534
matthews_corrcoef,RGB-RNA-SSP-rnastralign-OmniGenome-52M,[0.9579414610773724],0.9579414610773724,0.9579414610773724,0.0,0.0,0.9579414610773724,0.9579414610773724
matthews_corrcoef,RGB-RNA-SSP-bpRNA-OmniGenome-52M,[0.6064033194534778],0.6064033194534778,0.6064033194534778,0.0,0.0,0.6064033194534778,0.6064033194534778
matthews_corrcoef,RGB-RNA-TE-Prediction.Arabidopsis-OmniGenome-52M,[0.3295066167896064],0.3295066167896064,0.3295066167896064,0.0,0.0,0.3295066167896064,0.3295066167896064
matthews_corrcoef,RGB-RNA-TE-Prediction.Rice-OmniGenome-52M,[0.49504530737460883],0.49504530737460883,0.49504530737460883,0.0,0.0,0.49504530737460883,0.49504530737460883
matthews_corrcoef,RGB-RNA-Region-Classification.Arabidopsis-OmniGenome-52M,[0.9498126050346627],0.9498126050346627,0.9498126050346627,0.0,0.0,0.9498126050346627,0.9498126050346627
matthews_corrcoef,RGB-RNA-Region-Classification.Rice-OmniGenome-52M,[0.918299054748215],0.918299054748215,0.918299054748215,0.0,0.0,0.918299054748215,0.918299054748215
roc_auc_score,RGB-RNA-SNMD-OmniGenome-52M,[0.5970559803186319],0.5970559803186319,0.5970559803186319,0.0,0.0,0.5970559803186319,0.5970559803186319
root_mean_squared_error,RGB-RNA-mRNA-OmniGenome-52M,[0.745684027671814],0.745684027671814,0.745684027671814,0.0,0.0,0.745684027671814,0.745684027671814
